Model,SemanticSimilarity,BLEU,ROUGE1,ROUGEL,BERTScore,ResponseLength,GroundTruthLength,LengthDifference,QuestionLength,ResponseCharacters,AverageWordLength
DeepSeek,0.6755377754612166,0.04923611289887285,0.27356947538118875,0.23843083192130576,0.8864041168421052,39.59975520195839,9.2203182374541,30.489596083231334,10.638922888616891,249.45042839657282,6.31287578943993
Groq,0.6521048689805875,0.040049582167204514,0.22827499411440003,0.20034620712117368,0.8808749326070991,44.536107711138314,9.2203182374541,35.342717258261935,10.638922888616891,277.5544675642595,6.223889509059873
OpenAI,0.6635206569861689,0.04818834226515473,0.23846127341563714,0.20940932835069653,0.881645342619339,47.72827417380661,9.2203182374541,38.51040391676867,10.638922888616891,306.15544675642593,6.360567507518308
